sequence_id,length,num_reps,status,source_dir,source_zip
sgRNA_73,104,10,ok,workdirs/sgRNA_73,workdirs/sgRNA_73/results.zip
sgRNA_74,104,8,ok,workdirs/sgRNA_74,workdirs/sgRNA_74/results.zip
sgRNA_75,104,10,ok,workdirs/sgRNA_75,workdirs/sgRNA_75/results.zip
sgRNA_76,104,8,ok,workdirs/sgRNA_76,workdirs/sgRNA_76/results.zip
sgRNA_77,104,6,ok,workdirs/sgRNA_77,workdirs/sgRNA_77/results.zip
sgRNA_78,104,6,ok,workdirs/sgRNA_78,workdirs/sgRNA_78/results.zip
sgRNA_79,104,9,ok,workdirs/sgRNA_79,workdirs/sgRNA_79/results.zip
sgRNA_80,104,12,ok,workdirs/sgRNA_80,workdirs/sgRNA_80/results.zip
sgRNA_81,104,11,ok,workdirs/sgRNA_81,workdirs/sgRNA_81/results.zip
sgRNA_82,104,11,ok,workdirs/sgRNA_82,workdirs/sgRNA_82/results.zip
sgRNA_83,104,10,ok,workdirs/sgRNA_83,workdirs/sgRNA_83/results.zip
sgRNA_84,104,10,ok,workdirs/sgRNA_84,workdirs/sgRNA_84/results.zip
sgRNA_85,104,9,ok,workdirs/sgRNA_85,workdirs/sgRNA_85/results.zip
sgRNA_86,104,8,ok,workdirs/sgRNA_86,workdirs/sgRNA_86/results.zip
sgRNA_87,104,7,ok,workdirs/sgRNA_87,workdirs/sgRNA_87/results.zip
sgRNA_88,104,11,ok,workdirs/sgRNA_88,workdirs/sgRNA_88/results.zip
sgRNA_89,104,9,ok,workdirs/sgRNA_89,workdirs/sgRNA_89/results.zip
sgRNA_90,104,11,ok,workdirs/sgRNA_90,workdirs/sgRNA_90/results.zip
sgRNA_91,104,8,ok,workdirs/sgRNA_91,workdirs/sgRNA_91/results.zip
sgRNA_92,104,9,ok,workdirs/sgRNA_92,workdirs/sgRNA_92/results.zip
sgRNA_93,104,9,ok,workdirs/sgRNA_93,workdirs/sgRNA_93/results.zip
sgRNA_94,104,8,ok,workdirs/sgRNA_94,workdirs/sgRNA_94/results.zip
sgRNA_95,104,11,ok,workdirs/sgRNA_95,workdirs/sgRNA_95/results.zip
sgRNA_96,104,8,ok,workdirs/sgRNA_96,workdirs/sgRNA_96/results.zip
sgRNA_97,104,11,ok,workdirs/sgRNA_97,workdirs/sgRNA_97/results.zip
sgRNA_98,104,12,ok,workdirs/sgRNA_98,workdirs/sgRNA_98/results.zip
sgRNA_99,104,9,ok,workdirs/sgRNA_99,workdirs/sgRNA_99/results.zip
sgRNA_100,104,12,ok,workdirs/sgRNA_100,workdirs/sgRNA_100/results.zip
sgRNA_101,104,9,ok,workdirs/sgRNA_101,workdirs/sgRNA_101/results.zip
sgRNA_102,104,9,ok,workdirs/sgRNA_102,workdirs/sgRNA_102/results.zip
sgRNA_103,104,11,ok,workdirs/sgRNA_103,workdirs/sgRNA_103/results.zip
sgRNA_104,104,7,ok,workdirs/sgRNA_104,workdirs/sgRNA_104/results.zip
sgRNA_105,104,11,ok,workdirs/sgRNA_105,workdirs/sgRNA_105/results.zip
sgRNA_106,104,13,ok,workdirs/sgRNA_106,workdirs/sgRNA_106/results.zip
sgRNA_107,104,8,ok,workdirs/sgRNA_107,workdirs/sgRNA_107/results.zip
sgRNA_108,104,11,ok,workdirs/sgRNA_108,workdirs/sgRNA_108/results.zip
sgRNA_109,104,7,ok,workdirs/sgRNA_109,workdirs/sgRNA_109/results.zip
sgRNA_110,104,8,ok,workdirs/sgRNA_110,workdirs/sgRNA_110/results.zip
sgRNA_111,104,6,ok,workdirs/sgRNA_111,workdirs/sgRNA_111/results.zip
sgRNA_112,104,13,ok,workdirs/sgRNA_112,workdirs/sgRNA_112/results.zip
sgRNA_113,104,13,ok,workdirs/sgRNA_113,workdirs/sgRNA_113/results.zip
sgRNA_114,104,10,ok,workdirs/sgRNA_114,workdirs/sgRNA_114/results.zip
sgRNA_115,104,10,ok,workdirs/sgRNA_115,workdirs/sgRNA_115/results.zip
sgRNA_116,104,13,ok,workdirs/sgRNA_116,workdirs/sgRNA_116/results.zip
sgRNA_117,104,16,ok,workdirs/sgRNA_117,workdirs/sgRNA_117/results.zip
sgRNA_118,104,8,ok,workdirs/sgRNA_118,workdirs/sgRNA_118/results.zip
sgRNA_119,104,13,ok,workdirs/sgRNA_119,workdirs/sgRNA_119/results.zip
sgRNA_120,104,9,ok,workdirs/sgRNA_120,workdirs/sgRNA_120/results.zip
sgRNA_121,104,7,ok,workdirs/sgRNA_121,workdirs/sgRNA_121/results.zip
sgRNA_122,104,11,ok,workdirs/sgRNA_122,workdirs/sgRNA_122/results.zip
sgRNA_123,104,12,ok,workdirs/sgRNA_123,workdirs/sgRNA_123/results.zip
sgRNA_124,104,10,ok,workdirs/sgRNA_124,workdirs/sgRNA_124/results.zip
sgRNA_125,104,14,ok,workdirs/sgRNA_125,workdirs/sgRNA_125/results.zip
sgRNA_126,104,6,ok,workdirs/sgRNA_126,workdirs/sgRNA_126/results.zip
sgRNA_127,104,8,ok,workdirs/sgRNA_127,workdirs/sgRNA_127/results.zip
sgRNA_128,104,6,ok,workdirs/sgRNA_128,workdirs/sgRNA_128/results.zip
sgRNA_129,104,15,ok,workdirs/sgRNA_129,workdirs/sgRNA_129/results.zip
sgRNA_130,104,6,ok,workdirs/sgRNA_130,workdirs/sgRNA_130/results.zip
sgRNA_131,104,11,ok,workdirs/sgRNA_131,workdirs/sgRNA_131/results.zip
sgRNA_132,104,13,ok,workdirs/sgRNA_132,workdirs/sgRNA_132/results.zip
sgRNA_133,104,12,ok,workdirs/sgRNA_133,workdirs/sgRNA_133/results.zip
sgRNA_134,104,10,ok,workdirs/sgRNA_134,workdirs/sgRNA_134/results.zip
sgRNA_135,104,13,ok,workdirs/sgRNA_135,workdirs/sgRNA_135/results.zip
sgRNA_136,104,9,ok,workdirs/sgRNA_136,workdirs/sgRNA_136/results.zip
sgRNA_137,104,9,ok,workdirs/sgRNA_137,workdirs/sgRNA_137/results.zip
sgRNA_138,104,8,ok,workdirs/sgRNA_138,workdirs/sgRNA_138/results.zip
sgRNA_139,104,9,ok,workdirs/sgRNA_139,workdirs/sgRNA_139/results.zip
sgRNA_140,104,12,ok,workdirs/sgRNA_140,workdirs/sgRNA_140/results.zip
sgRNA_141,104,11,ok,workdirs/sgRNA_141,workdirs/sgRNA_141/results.zip
sgRNA_142,104,6,ok,workdirs/sgRNA_142,workdirs/sgRNA_142/results.zip
sgRNA_143,104,8,ok,workdirs/sgRNA_143,workdirs/sgRNA_143/results.zip
sgRNA_144,104,10,ok,workdirs/sgRNA_144,workdirs/sgRNA_144/results.zip
sgRNA_145,104,8,ok,workdirs/sgRNA_145,workdirs/sgRNA_145/results.zip
sgRNA_146,104,11,ok,workdirs/sgRNA_146,workdirs/sgRNA_146/results.zip
sgRNA_147,104,11,ok,workdirs/sgRNA_147,workdirs/sgRNA_147/results.zip
sgRNA_148,104,14,ok,workdirs/sgRNA_148,workdirs/sgRNA_148/results.zip
sgRNA_149,104,7,ok,workdirs/sgRNA_149,workdirs/sgRNA_149/results.zip
sgRNA_150,104,10,ok,workdirs/sgRNA_150,workdirs/sgRNA_150/results.zip
